75.0000,-42.36,-28.54,101.00
76.3750,-40.61,-28.11,101.00
77.4375,-38.84,-27.72,101.00
76.8125,-37.09,-27.31,101.00
77.2500,-35.32,-26.91,101.00
76.7500,-33.56,-26.49,101.00
75.1875,-31.82,-26.03,101.00
73.7500,-30.08,-25.53,101.00
73.9375,-28.35,-25.03,101.00
74.3750,-26.61,-24.54,101.00
73.0000,-24.88,-24.01,101.00
72.1875,-23.16,-23.46,101.00
72.2500,-21.44,-22.91,101.00
70.5000,-19.74,-22.31,101.00
68.6875,-18.05,-21.65,101.00
68.7500,-16.37,-20.99,101.00
68.7500,-14.69,-20.34,101.00
68.3125,-13.01,-19.67,101.00
68.2500,-11.33,-19.00,101.00
67.1250,-9.67,-18.30,101.00
66.8125,-8.01,-17.59,101.00
66.6875,-6.35,-16.87,101.00
64.1875,-4.72,-16.09,101.00
59.1875,-3.17,-15.16,101.00
57.5000,-1.65,-14.19,101.00
61.3125,-0.06,-13.32,101.00
60.3125,1.51,-12.43,101.00
55.7500,3.00,-11.41,101.00
50.1250,4.40,-10.24,102.00
47.5000,5.73,-9.02,101.00
47.3750,7.06,-7.80,101.00
43.8125,8.31,-6.50,101.00
38.1875,9.43,-5.08,101.00
33.9375,10.44,-3.58,101.00
33.5000,11.44,-2.07,101.00
31.2500,12.37,-0.53,101.00
26.0625,13.18,1.11,102.00
23.2500,13.89,2.77,101.00
22.9375,14.60,4.45,102.00
21.8750,15.27,6.13,101.00
17.3750,15.81,7.85,101.00
15.1250,16.28,9.60,101.00
15.3750,16.76,11.34,101.00
15.3750,17.24,13.08,101.00
12.6875,17.64,14.84,101.00
8.7500,17.91,16.63,101.00
7.6250,18.15,18.42,101.00
7.7500,18.40,20.21,101.00
8.3125,18.66,22.00,101.00
5.1250,18.82,23.80,101.00
